"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 26 10:59:15 BRT 2023","Thu Jan 26 10:59:23 BRT 2023","7920","EVEX7 test","Menu Açoes","","","","Fornecedores - Ação - Alterar Classificação",""
"passed","Thu Jan 26 10:56:18 BRT 2023","Thu Jan 26 10:56:49 BRT 2023","31120","EVEX7 test","Cadastrar um novo compradores","","","","Test Menu Cadastro - Compradores",""
"passed","Thu Jan 26 10:56:49 BRT 2023","Thu Jan 26 10:56:55 BRT 2023","6368","EVEX7 test","Menu acoes","","","","Ações Compradores - Editar",""
"passed","Thu Jan 26 11:01:50 BRT 2023","Thu Jan 26 11:01:57 BRT 2023","6540","EVEX7 test","Ações Basicas","","","","Teste Menu Atualizacao Cadastral - Limpar",""
"passed","Thu Jan 26 11:06:43 BRT 2023","Thu Jan 26 11:06:49 BRT 2023","6649","EVEX7 test","Ações Basica","","","","Cadastro - Consultor - Gerenciar Consultores - Pesquisar",""
"passed","Thu Jan 26 10:58:24 BRT 2023","Thu Jan 26 10:58:32 BRT 2023","8869","EVEX7 test","Menu Açoes","","","","Fornecedores - Ação - Consultar",""
"passed","Thu Jan 26 11:09:29 BRT 2023","Thu Jan 26 11:09:39 BRT 2023","10835","","EVEX7 test","","","","RH - Controle Hora Extra - Limpar",""
"passed","Thu Jan 26 10:56:09 BRT 2023","Thu Jan 26 10:56:15 BRT 2023","5952","EVEX7 test","Ações Basicas","","","","Limpar Compradores",""
"passed","Thu Jan 26 11:05:38 BRT 2023","Thu Jan 26 11:05:45 BRT 2023","6604","","EVEX7 test","","","","Menu Solicitações - Consultoria Jurídica",""
"passed","Thu Jan 26 11:04:19 BRT 2023","Thu Jan 26 11:04:27 BRT 2023","7742","EVEX7 test","Ações Basicas","","","","Limpar Historico SPC/Serasa",""
"passed","Thu Jan 26 10:59:06 BRT 2023","Thu Jan 26 10:59:15 BRT 2023","8303","EVEX7 test","Menu Açoes","","","","Fornecedores - Ação - Pendencias",""
"passed","Thu Jan 26 11:09:18 BRT 2023","Thu Jan 26 11:09:29 BRT 2023","10911","","EVEX7 test","","","","RH - Controle Hora Extra",""
"passed","Thu Jan 26 11:12:41 BRT 2023","Thu Jan 26 11:13:06 BRT 2023","25597","","EVEX7 test","","","","RH - Solicitar Desligamento - Teste - Menu Ações",""
"passed","Thu Jan 26 11:07:44 BRT 2023","Thu Jan 26 11:07:54 BRT 2023","10045","EVEX7 test","Menu Ações","","","","Cadastro - Consultor - Gerenciar Consultores - Acoes - Transferir Carteira",""
"passed","Thu Jan 26 11:02:42 BRT 2023","Thu Jan 26 11:02:50 BRT 2023","8134","EVEX7 test","Menu Acoes","","","","Associado Consultar - Adicionar Veiculo",""
"passed","Thu Jan 26 11:07:16 BRT 2023","Thu Jan 26 11:07:25 BRT 2023","9143","EVEX7 test","Menu Ações","","","","Cadastro - Consultor - Gerenciar Consultores - Acoes - Excluir",""
"failed","Thu Jan 26 11:01:13 BRT 2023","Thu Jan 26 11:01:23 BRT 2023","9963","EVEX7 test","Menu Ações - Usuario","","","","Cadastro - Consultor - Usuario - Ações - Acesso Sistema",""
"passed","Thu Jan 26 10:57:41 BRT 2023","Thu Jan 26 10:57:48 BRT 2023","7246","EVEX7 test","Ações Basicas","","","","Fornecedores - Pesquisar",""
"passed","Thu Jan 26 11:04:52 BRT 2023","Thu Jan 26 11:05:00 BRT 2023","7862","EVEX7 test","Ações Basicas","","","","Pesquisar Entrega",""
"failed","Thu Jan 26 11:01:23 BRT 2023","Thu Jan 26 11:01:33 BRT 2023","9798","EVEX7 test","Menu Ações - Usuario","","","","Cadastro - Consultor - Usuario - Ações - Hora Extra",""
"skipped","Thu Jan 26 11:11:16 BRT 2023","Thu Jan 26 11:11:16 BRT 2023","2","","EVEX7 test","","","","RH - Solicitar Contratação Consultar/editar",""
"passed","Thu Jan 26 11:10:47 BRT 2023","Thu Jan 26 11:11:16 BRT 2023","29828","","EVEX7 test","","","","RH - Solicitar Contratação BACKEND",""
"passed","Thu Jan 26 11:02:21 BRT 2023","Thu Jan 26 11:02:28 BRT 2023","7131","EVEX7 test","Ações Basicas ","","","","Teste Menu - Associado Consultar Associado - Limpar",""
"passed","Thu Jan 26 10:57:57 BRT 2023","Thu Jan 26 10:58:06 BRT 2023","8916","EVEX7 test","Ações Basicas","","","","Fornecedores - Exportar - Pendencias",""
"passed","Thu Jan 26 11:12:17 BRT 2023","Thu Jan 26 11:12:41 BRT 2023","23259","","EVEX7 test","","","","RH - Solicitar Desligamento Teste",""
"passed","Thu Jan 26 11:02:59 BRT 2023","Thu Jan 26 11:03:08 BRT 2023","9241","EVEX7 test","Menu Acoes","","","","Associado Consultar - Incluir SPC/Serasa",""
"passed","Thu Jan 26 10:56:55 BRT 2023","Thu Jan 26 10:57:02 BRT 2023","6617","EVEX7 test","Menu acoes","","","","Ações Compradores - Arquivo",""
"passed","Thu Jan 26 10:57:30 BRT 2023","Thu Jan 26 10:57:35 BRT 2023","5883","EVEX7 test","Ação Editar Cupom","","","","Limpar Cupom",""
"passed","Thu Jan 26 10:57:12 BRT 2023","Thu Jan 26 10:57:18 BRT 2023","6149","EVEX7 test","Ações Basicas","","","","Pesquisar Cupom",""
"passed","Thu Jan 26 11:05:06 BRT 2023","Thu Jan 26 11:05:12 BRT 2023","5668","EVEX7 test","Ações Basicas","","","","Pesquisar Entrega/Coleta",""
"passed","Thu Jan 26 10:59:38 BRT 2023","Thu Jan 26 10:59:46 BRT 2023","8318","EVEX7 test","Menu ação","","","","Regional - Menu Ações - Consultar",""
"passed","Thu Jan 26 11:01:57 BRT 2023","Thu Jan 26 11:02:02 BRT 2023","5636","EVEX7 test","Menu Ação","","","","Teste Menu - Atualizacao Cadastral - Ações - Confirmar",""
